episode,score,global_step,avg_loss,step
550,1.0,89653,0.0029747272094391517,125
551,0.0,89753,0.003177968505365243,100
552,2.0,89929,0.002621367466484902,176
553,0.0,90052,0.0028186256456685104,123
554,3.0,90305,0.003192500127094714,253
555,0.0,90426,0.003332253407850748,121
556,0.0,90546,0.002870846502044818,120
557,0.0,90653,0.002672441773071777,107
558,2.0,90851,0.0032633474384515513,198
559,2.0,91030,0.002987803526979934,179
560,2.0,91231,0.0035189423387173837,201
561,0.0,91365,0.0031114301678595684,134
562,1.0,91507,0.003318450457162354,142
563,0.0,91606,0.0033148938916907136,99
564,3.0,91858,0.0031388483747226323,252
565,1.0,92016,0.0034241131987424595,158
566,1.0,92188,0.0030519575184529838,172
567,0.0,92311,0.002185606146697428,123
568,0.0,92417,0.0030771674669567975,106
569,4.0,92681,0.002896233125356544,264
570,3.0,92944,0.0029101118154890673,263
571,0.0,93063,0.0024048291748962995,119
572,0.0,93184,0.0024228906320124884,121
573,0.0,93305,0.0033741373828122074,121
574,1.0,93455,0.0029935631215509298,150
575,0.0,93580,0.002775757340925338,125
576,0.0,93694,0.003029714137004416,114
577,0.0,93822,0.00328580846385762,128
578,2.0,94007,0.002973642782583468,185
579,3.0,94258,0.0031030060025355973,251
580,1.0,94411,0.00325111677093327,153
581,0.0,94538,0.002504316494976836,127
582,0.0,94648,0.002725450372785913,110
583,1.0,94791,0.0023424188082769234,143
584,3.0,95043,0.0028120724789225337,252
585,0.0,95147,0.00298430641026051,104
586,0.0,95270,0.003027657442751335,123
587,1.0,95434,0.0031532675768270253,164
588,1.0,95567,0.0032854592667670083,133
589,2.0,95777,0.0031735135633425672,210
590,0.0,95888,0.0031970913577228006,111
591,0.0,96001,0.002749441209462262,113
592,2.0,96200,0.00254462229852162,199
593,0.0,96315,0.002742020353616681,115
594,0.0,96445,0.0025369805907268107,130
595,0.0,96544,0.0022345658400322144,99
596,0.0,96658,0.0033809854939527055,114
597,3.0,96874,0.002836453843538375,216
598,2.0,97045,0.0024909037120613643,171
599,2.0,97214,0.002407083537542542,169
600,2.0,97391,0.002860850994631804,177
601,0.0,97514,0.0027517750649707065,123
602,3.0,97717,0.0031968679102225856,203
603,1.0,97843,0.0027083541318562413,126
604,2.0,98063,0.0028850845329336816,220
605,1.0,98211,0.002788977023457748,148
606,2.0,98393,0.0027848118589835205,182
607,2.0,98557,0.002723631470056406,164
608,3.0,98810,0.0030456917228846637,253
609,0.0,98928,0.0030358792549014975,118
610,2.0,99122,0.003437064728486053,194
611,0.0,99230,0.0028735516498020136,108
612,4.0,99489,0.0029561777274469806,259
613,0.0,99598,0.00332911368390959,109
614,4.0,99886,0.002795380803238206,288
615,3.0,100111,0.002704379719592301,225
616,1.0,100259,0.00275123588807145,148
617,1.0,100413,0.003020971480471228,154
618,2.0,100635,0.0027204971807428214,222
619,2.0,100853,0.0029574708308500535,218
620,2.0,101032,0.0026847268691097513,179
621,2.0,101238,0.0025760859425468722,206
622,2.0,101397,0.002831752926652159,159
623,2.0,101594,0.003253367845826489,197
624,0.0,101694,0.0021897517408433487,100
625,1.0,101831,0.0031471804062888236,137
626,0.0,101956,0.00294769600455038,125
627,4.0,102212,0.002872657962191383,256
628,3.0,102407,0.0030034826215318716,195
629,2.0,102607,0.0028675700489247903,200
630,1.0,102758,0.002929712870571539,151
631,0.0,102867,0.003300131142731758,109
632,0.0,102982,0.003227991732685199,115
633,0.0,103102,0.0029186620174452096,120
634,3.0,103359,0.003210413586786693,257
635,0.0,103489,0.002850650749360284,130
636,0.0,103596,0.0029640276963924816,107
637,1.0,103717,0.0028028888050470385,121
638,0.0,103824,0.0033067026898207356,107
639,0.0,103947,0.0029508856748874887,123
640,0.0,104065,0.0033424890941467435,118
641,1.0,104200,0.002858070040235395,135
642,1.0,104348,0.0026935028901383753,148
643,3.0,104549,0.002958983296795298,201
644,0.0,104669,0.0032857340966756963,120
645,2.0,104859,0.0032435145800981877,190
646,3.0,105086,0.0029181475799529557,227
647,0.0,105207,0.0024291682904265693,121
648,0.0,105306,0.002315282553666688,99
649,0.0,105428,0.0030483001430340784,122
650,0.0,105554,0.0023770256109545453,126
651,0.0,105657,0.0032626139549154563,103
652,2.0,105837,0.0029650760375590024,180
653,0.0,105946,0.0026616092815665063,109
654,2.0,106145,0.002369074193885541,199
655,3.0,106354,0.003089071846957768,209
656,2.0,106555,0.0028899797825196498,201
657,0.0,106670,0.0024910133429053216,115
658,2.0,106819,0.0027110885704382933,149
659,2.0,107024,0.002658326389215157,205
660,4.0,107310,0.002816874581107491,286
661,1.0,107472,0.002670738364345815,162
662,0.0,107583,0.0025407986787605616,111
663,0.0,107684,0.0028140563786875268,101
664,2.0,107862,0.002272959898682734,178
665,2.0,108043,0.0029612444718949624,181
666,1.0,108201,0.002839768914189427,158
667,3.0,108439,0.0027395512500280506,238
668,1.0,108593,0.0027308610299167104,154
669,1.0,108733,0.0027063820820233428,140
670,0.0,108851,0.0031955318591302536,118
671,2.0,109052,0.0029112879584358574,201
672,2.0,109250,0.0026564279750015307,198
673,1.0,109385,0.003120898039001245,135
674,0.0,109505,0.0031818740138684614,120
675,1.0,109658,0.0027831429980633283,153
676,1.0,109810,0.002912231485047893,152
677,2.0,110023,0.0036364706367168313,213
678,0.0,110120,0.0030175232935707565,97
679,1.0,110260,0.0031348585895102587,140
680,0.0,110379,0.003057883392282273,119
681,0.0,110500,0.00298439708888336,121
682,0.0,110625,0.0029161689957691124,125
683,0.0,110736,0.002530033402501169,111
684,2.0,110935,0.002342466381337339,199
685,4.0,111184,0.0027025323814371636,249
686,2.0,111368,0.0025377254968164025,184
687,2.0,111537,0.002447799253539243,169
688,1.0,111688,0.002830881455067344,151
689,0.0,111799,0.002715796577774142,111
690,1.0,111959,0.0033035558429844515,160
691,3.0,112184,0.0026916973376501117,225
692,1.0,112351,0.0025101880350594874,167
693,2.0,112568,0.0030035822139161863,217
694,1.0,112716,0.0030358967981562054,148
695,3.0,112960,0.00322951919998954,244
696,2.0,113177,0.0027497524787397053,217
697,2.0,113350,0.002613916549405018,173
698,2.0,113547,0.003150636483166687,197
699,3.0,113791,0.00335107171043755,244
700,0.0,113916,0.0033643769574591715,125
701,3.0,114167,0.003086507542693979,251
702,1.0,114339,0.0032691178354536192,172
703,1.0,114485,0.0030003737700111466,146
704,0.0,114580,0.0032436602542235816,95
705,2.0,114779,0.00310972402960362,199
706,3.0,115007,0.0026159341210215737,228
707,1.0,115154,0.0029079308368741884,147
708,1.0,115326,0.003022374822815563,172
709,0.0,115430,0.002922292048844191,104
710,4.0,115693,0.0026208103115265033,263
711,2.0,115877,0.0026733196749200547,184
712,1.0,116030,0.002709672409782441,153
713,0.0,116154,0.003605177821929183,124
714,3.0,116389,0.0030974791184331827,235
715,0.0,116498,0.0027734928141958043,109
716,1.0,116657,0.0031342651633144525,159
717,4.0,116938,0.0030674709956232445,281
718,3.0,117185,0.0031539260761846264,247
719,0.0,117297,0.003049403286943126,112
720,0.0,117424,0.003100923874902173,127
721,0.0,117554,0.003090834971135337,130
722,0.0,117667,0.002851042186934282,113
723,0.0,117774,0.0027520325846925064,107
724,3.0,118019,0.0030520938054942976,245
725,1.0,118194,0.0032231622111716465,175
726,1.0,118364,0.0029538513484380128,170
727,1.0,118546,0.0035157216081623138,182
